Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
27/06/2011,12043.56,1281.77,110.21,1.01
28/06/2011,12188.69,1296.43,111.08,1.0145
29/06/2011,12261.42,1314,111.89,1.0183
30/06/2011,12414.34,1331.18,111.98,1.0319
01/07/2011,12582.77,1343.81,112.66,1.0394
04/07/2011,12582.77,1348.18,113.57,1.0466
05/07/2011,12569.87,1345.93,113.95,1.0538
06/07/2011,12626.02,1341.98,114.41,1.0588
07/07/2011,12719.49,1352.39,114.98,1.0619
08/07/2011,12657.2,1343.13,115.54,1.0669
11/07/2011,12505.76,1314.81,114.92,1.0591
12/07/2011,12446.88,1307.28,114.08,1.0529
13/07/2011,12491.61,1320.34,113.67,1.0496
14/07/2011,12437.12,1310.83,113.11,1.0413
15/07/2011,12479.73,1313.17,112.19,1.0373
18/07/2011,12385.16,1297.04,112.06,1.0322
19/07/2011,12587.42,1316.54,111.3,1.025
20/07/2011,12571.91,1324.12,112.48,1.0361
21/07/2011,12724.41,1343.72,111.76,1.0348
22/07/2011,12681.16,1348.69,112.13,1.0407
25/07/2011,12592.8,1340.94,112.27,1.0411
26/07/2011,12501.3,1342.4,111.45,1.0376
27/07/2011,12302.55,1318.96,111.2,1.0367
28/07/2011,12240.11,1312.62,109.98,1.0262
29/07/2011,12143.24,1306.05,109.65,1.0184
01/08/2011,12132.49,1297.23,109.46,1.0184
