Ticker,Security Name
CFMWNBA LN Equity,LF Morant Wright Nippon Yield
CFWEIZI LN Equity,Link Financial - LF Woodford E
LINTGED ID Equity,Lindsell Train Global Equity F
LIOSSIA LN Equity,Liontrust Special Situations F
MGEMSII LN Equity,M&G Investment Funds 3 - Emerg
GLUVAPC LN Equity,Man GLG UK ICVC - Undervalued
ACUKEII LN Equity,MI Chelverton UK Equity Income
PTDBIIN LN Equity,MI TwentyFour Investment Funds
PTWFIII LN Equity,MI TwentyFour - Monument Bond
MXWO Index,MSCI World Index
MXWOSC Index,MSCI World Small Cap Index
NDX Index,NASDAQ 100 Stock Index
NEGEMWA LN Equity,BNY Mellon Investment Funds -
NWGHIWI LN Equity,Mellon Investments Funds ICVC
OMUSMCA LN Equity,Old Mutual Investment Funds Se
RATETII LN Equity,Rathbone Ethical Bond Fund
RATINSI LN Equity,Rathbone Income Fund
RLETGMI LN Equity,Royal London Ethical Bond Fund
ROYSEYI ID Equity,Royal London Asset Management
SCHMHCI LN Equity,Schroder High Yield Opportunit
CAZEIXA LN Equity,Schroder European Alpha Income
SSCPDZA LN Equity,Schroder Small Cap Discovery F
ZGSCSIS LN Equity,Standard Life Investment Co -
SLUKEP1 LN Equity,Standard Life Investment Co -
FSWSBSA LN Equity,First State Investments ICVC-
TBWEIBI LN Equity,TB Evenlode Income Fund/ Conti
TGIFOIN LN Equity,Trojan Global Income Fund
UNMSTBI LN Equity,Unicorn Investment Funds - Mas
UNIUEBI LN Equity,Unicorn UK Ethical Income Fund
