Date,LINTGEB ID Equity,IPCBDYA LN Equity,JOHUOYA LN Equity,BAREBIN LN Equity,LIOSSFI LN Equity,FSMEQIA LN Equity,JPMEMBA LN Equity,FSAPLBA LN Equity,FSGEMBA LN Equity,MNKS LN Equity,ATT LN Equity,LINTGED ID Equity
21/07/2010,#N/A N/A,#N/A N/A,0.777,#N/A N/A,#N/A N/A,#N/A N/A,187.9,313.93,317.46,286.2,276.5,#N/A N/A
22/07/2010,#N/A N/A,#N/A N/A,0.78,#N/A N/A,#N/A N/A,#N/A N/A,187.5,313.56,318.24,294.6,278.5,#N/A N/A
23/07/2010,#N/A N/A,#N/A N/A,0.7832,#N/A N/A,#N/A N/A,#N/A N/A,188.9,314.75,319.39,293.7,279,#N/A N/A
26/07/2010,#N/A N/A,#N/A N/A,0.7845,#N/A N/A,#N/A N/A,#N/A N/A,188.9,315.24,319.12,295,280.5,#N/A N/A
27/07/2010,#N/A N/A,#N/A N/A,0.7841,#N/A N/A,#N/A N/A,#N/A N/A,190.3,316.16,321.03,295,284,#N/A N/A
28/07/2010,#N/A N/A,#N/A N/A,0.7771,#N/A N/A,#N/A N/A,#N/A N/A,189.2,314.75,319.61,292.8,283.75,#N/A N/A
29/07/2010,#N/A N/A,#N/A N/A,0.7821,#N/A N/A,#N/A N/A,#N/A N/A,189.5,315.55,319.89,295,285,#N/A N/A
30/07/2010,#N/A N/A,#N/A N/A,0.776,#N/A N/A,#N/A N/A,#N/A N/A,188.8,315.12,319.22,290.6,285,#N/A N/A
02/08/2010,#N/A N/A,#N/A N/A,0.7796,#N/A N/A,#N/A N/A,#N/A N/A,188.9,317.11,319.63,294.4,285.5,#N/A N/A
03/08/2010,#N/A N/A,#N/A N/A,0.7825,#N/A N/A,#N/A N/A,#N/A N/A,188.7,315.47,318.98,295,285.5,#N/A N/A
04/08/2010,#N/A N/A,#N/A N/A,0.7789,#N/A N/A,#N/A N/A,#N/A N/A,189.1,316.44,319.24,295.5,285,#N/A N/A
05/08/2010,#N/A N/A,#N/A N/A,0.7865,#N/A N/A,#N/A N/A,#N/A N/A,189.3,317.53,321.03,295.5,285,#N/A N/A
06/08/2010,#N/A N/A,#N/A N/A,0.7825,#N/A N/A,#N/A N/A,#N/A N/A,189.6,318.7,320.93,292.8,285,#N/A N/A
09/08/2010,#N/A N/A,#N/A N/A,0.7852,#N/A N/A,#N/A N/A,#N/A N/A,188.9,317.87,319.85,295.9,285,#N/A N/A
10/08/2010,#N/A N/A,#N/A N/A,0.7873,#N/A N/A,#N/A N/A,#N/A N/A,189.1,319.93,322.4,294.7,284.5,#N/A N/A
11/08/2010,#N/A N/A,#N/A N/A,0.7817,#N/A N/A,#N/A N/A,#N/A N/A,187.1,316.47,320.31,290,284,#N/A N/A
12/08/2010,#N/A N/A,#N/A N/A,0.7799,#N/A N/A,#N/A N/A,#N/A N/A,184.7,313.94,317.56,291.3,283.5,#N/A N/A
13/08/2010,#N/A N/A,#N/A N/A,0.776,#N/A N/A,#N/A N/A,#N/A N/A,185.9,315.38,317.93,292,277.5,#N/A N/A
16/08/2010,#N/A N/A,#N/A N/A,0.7772,#N/A N/A,#N/A N/A,#N/A N/A,185.8,315.55,318.7,292.9,274.5,#N/A N/A
17/08/2010,#N/A N/A,#N/A N/A,0.7838,#N/A N/A,#N/A N/A,#N/A N/A,187.2,317.52,321.46,296,282.75,#N/A N/A
18/08/2010,#N/A N/A,#N/A N/A,0.7834,#N/A N/A,#N/A N/A,#N/A N/A,188,318.34,321.42,296.6,278.5,#N/A N/A
19/08/2010,#N/A N/A,#N/A N/A,0.7832,#N/A N/A,#N/A N/A,#N/A N/A,189.6,320.79,323.27,295,278.5,#N/A N/A
20/08/2010,#N/A N/A,#N/A N/A,0.7692,#N/A N/A,#N/A N/A,#N/A N/A,189.1,321.86,323.37,294.2,277.5,#N/A N/A
23/08/2010,#N/A N/A,#N/A N/A,0.7747,#N/A N/A,#N/A N/A,#N/A N/A,187.9,321.29,323.61,297.3,275.5,#N/A N/A
24/08/2010,#N/A N/A,#N/A N/A,0.7711,#N/A N/A,#N/A N/A,#N/A N/A,187.4,321.6,324.2,293.4,275.5,#N/A N/A
25/08/2010,#N/A N/A,#N/A N/A,0.7679,#N/A N/A,#N/A N/A,#N/A N/A,185.4,318.19,321.13,292.1,273.5,#N/A N/A
26/08/2010,#N/A N/A,#N/A N/A,0.7675,#N/A N/A,#N/A N/A,#N/A N/A,184.3,317.38,318.81,293.9,273.5,#N/A N/A
27/08/2010,#N/A N/A,#N/A N/A,0.7702,#N/A N/A,#N/A N/A,#N/A N/A,183.3,317.57,318.32,296.2,273,#N/A N/A
30/08/2010,#N/A N/A,#N/A N/A,0.7702,#N/A N/A,#N/A N/A,#N/A N/A,183.3,317.57,318.32,296.2,273,#N/A N/A
31/08/2010,#N/A N/A,#N/A N/A,0.7706,#N/A N/A,#N/A N/A,#N/A N/A,185.1,323.36,323.43,295.9,269.75,#N/A N/A
01/09/2010,#N/A N/A,#N/A N/A,0.7868,#N/A N/A,#N/A N/A,#N/A N/A,188.9,327.62,327.31,303.5,273.5,#N/A N/A
02/09/2010,#N/A N/A,#N/A N/A,0.79,#N/A N/A,#N/A N/A,#N/A N/A,193.3,331.76,332.25,303.5,275.5,#N/A N/A
03/09/2010,#N/A N/A,#N/A N/A,0.7955,#N/A N/A,#N/A N/A,#N/A N/A,194.1,333.35,334.03,309.4,282.5,#N/A N/A
06/09/2010,#N/A N/A,#N/A N/A,0.7984,#N/A N/A,#N/A N/A,#N/A N/A,195.9,336.82,336.62,313,284.5,#N/A N/A
07/09/2010,#N/A N/A,#N/A N/A,0.7954,#N/A N/A,#N/A N/A,#N/A N/A,195.4,335.71,334.59,311.1,284.5,#N/A N/A
08/09/2010,#N/A N/A,#N/A N/A,0.7986,#N/A N/A,#N/A N/A,#N/A N/A,192.9,333.99,332.55,311,283.5,#N/A N/A
09/09/2010,#N/A N/A,#N/A N/A,0.8039,#N/A N/A,#N/A N/A,#N/A N/A,195.1,337.46,334.81,312.8,286,#N/A N/A
10/09/2010,#N/A N/A,#N/A N/A,0.8072,#N/A N/A,#N/A N/A,#N/A N/A,195.4,336.81,334.63,316.1,284,#N/A N/A
13/09/2010,#N/A N/A,#N/A N/A,0.8127,#N/A N/A,#N/A N/A,#N/A N/A,199.9,341.67,340.84,319.3,285,#N/A N/A
14/09/2010,#N/A N/A,#N/A N/A,0.8139,#N/A N/A,#N/A N/A,#N/A N/A,201.5,340.76,340.16,320.1,286.75,#N/A N/A
15/09/2010,#N/A N/A,#N/A N/A,0.8138,#N/A N/A,#N/A N/A,#N/A N/A,200.6,340.92,339.97,320.5,286.75,#N/A N/A
16/09/2010,#N/A N/A,#N/A N/A,0.8144,#N/A N/A,#N/A N/A,#N/A N/A,199.6,338.91,338.87,320.6,286.75,#N/A N/A
17/09/2010,#N/A N/A,#N/A N/A,0.8194,#N/A N/A,#N/A N/A,#N/A N/A,199.8,340.24,339.52,318,289,#N/A N/A
20/09/2010,#N/A N/A,#N/A N/A,0.8165,#N/A N/A,#N/A N/A,#N/A N/A,201,342.01,341.05,323.9,291,#N/A N/A
21/09/2010,#N/A N/A,#N/A N/A,0.8204,#N/A N/A,#N/A N/A,#N/A N/A,203.4,344.93,344.42,322.2,295.5,#N/A N/A
22/09/2010,#N/A N/A,#N/A N/A,0.8121,#N/A N/A,#N/A N/A,#N/A N/A,201.9,344.24,343.38,320.9,296,#N/A N/A
23/09/2010,#N/A N/A,#N/A N/A,0.8095,#N/A N/A,#N/A N/A,#N/A N/A,200.3,343.85,342.48,320.6,296.5,#N/A N/A
24/09/2010,#N/A N/A,#N/A N/A,0.8117,#N/A N/A,#N/A N/A,#N/A N/A,201.7,343.73,343.08,322,296.5,#N/A N/A
27/09/2010,#N/A N/A,#N/A N/A,0.8205,#N/A N/A,#N/A N/A,#N/A N/A,202.2,344.17,342.73,317,301,#N/A N/A
28/09/2010,#N/A N/A,#N/A N/A,0.8172,#N/A N/A,#N/A N/A,#N/A N/A,200.6,341.61,341.17,313,299.5,#N/A N/A
29/09/2010,#N/A N/A,#N/A N/A,0.8193,#N/A N/A,#N/A N/A,#N/A N/A,203.3,346.56,345.75,316,299.5,#N/A N/A
30/09/2010,#N/A N/A,#N/A N/A,0.8175,#N/A N/A,#N/A N/A,#N/A N/A,203,344.49,344.22,322,300.5,#N/A N/A
01/10/2010,#N/A N/A,#N/A N/A,0.819,#N/A N/A,#N/A N/A,#N/A N/A,206.3,347.64,347.72,321.8,300.5,#N/A N/A
04/10/2010,#N/A N/A,#N/A N/A,0.8168,#N/A N/A,#N/A N/A,#N/A N/A,208.5,349.57,349.05,319.7,300.5,#N/A N/A
05/10/2010,#N/A N/A,#N/A N/A,0.8167,#N/A N/A,#N/A N/A,#N/A N/A,206.5,346.14,346.71,323.4,300.75,#N/A N/A
06/10/2010,#N/A N/A,#N/A N/A,0.8258,#N/A N/A,#N/A N/A,#N/A N/A,209.2,351.42,352.08,327,303.5,#N/A N/A
07/10/2010,#N/A N/A,#N/A N/A,0.8281,#N/A N/A,#N/A N/A,#N/A N/A,207.4,351.05,350.6,325.8,303,#N/A N/A
08/10/2010,#N/A N/A,#N/A N/A,0.8214,#N/A N/A,#N/A N/A,#N/A N/A,206.3,351,349.76,326,302.75,#N/A N/A
11/10/2010,#N/A N/A,#N/A N/A,0.8249,#N/A N/A,#N/A N/A,#N/A N/A,208.4,350.1,348.88,328.9,303.25,#N/A N/A
12/10/2010,#N/A N/A,#N/A N/A,0.8217,#N/A N/A,#N/A N/A,#N/A N/A,208.6,347.6,348.22,327.9,302,#N/A N/A
13/10/2010,#N/A N/A,#N/A N/A,0.8343,#N/A N/A,#N/A N/A,#N/A N/A,210.9,351.45,352.09,332.5,302.5,#N/A N/A
14/10/2010,#N/A N/A,#N/A N/A,0.834,#N/A N/A,#N/A N/A,#N/A N/A,211.1,352,352.34,331.6,302.5,#N/A N/A
15/10/2010,#N/A N/A,#N/A N/A,0.8299,#N/A N/A,#N/A N/A,#N/A N/A,209.3,351.16,350.43,331.4,301,#N/A N/A
18/10/2010,#N/A N/A,#N/A N/A,0.8303,#N/A N/A,#N/A N/A,#N/A N/A,208.8,349.65,350.1,333.1,301.25,#N/A N/A
19/10/2010,#N/A N/A,#N/A N/A,0.832,#N/A N/A,#N/A N/A,#N/A N/A,210.3,351.34,351.06,332.4,300.75,#N/A N/A
20/10/2010,#N/A N/A,#N/A N/A,0.831,#N/A N/A,#N/A N/A,#N/A N/A,208.1,350.86,350.43,333,301,#N/A N/A
21/10/2010,#N/A N/A,#N/A N/A,0.8359,#N/A N/A,#N/A N/A,#N/A N/A,210.4,351.99,352.99,335.2,300.75,#N/A N/A
22/10/2010,#N/A N/A,#N/A N/A,0.837,#N/A N/A,#N/A N/A,#N/A N/A,211,353.34,353.46,335.5,300.75,#N/A N/A
